V1,V2,V3,V4,V5,V6,V7
Y1,6994.847924804688,6728.595849609375,6462.343774414063,6196.09169921875,5929.839624023438,5663.587548828125
Y2,1546.0459022521973,1479.0956077575684,1554.262119293213,1695.4176063537598,1995.6321754455566,2296.6318397521973
Y3,8505.001403808594,8720.000885009766,8936.667007446289,9153.333129882812,9369.999252319336,9586.66537475586
Y4,9889.781127929688,10068.142654418945,10296.856918334961,10561.085525512695,10769.189834594727,10979.617385864258
Y5,7239.981750488281,7639.9635009765625,8039.945251464844,8439.927001953125,8839.908752441406,9239.890502929688
Y6,4654.980324707031,5300.7506494140625,5946.520974121094,6592.291298828125,7238.061623535156,7883.8319482421875
Y7,4426.628395996094,5183.7967919921875,5940.965187988281,6698.1337060546875,7455.302224121094,8212.470986328124
Y8,2399.466552734375,2399.466552734375,2399.466552734375,2399.466552734375,2399.466552734375,2399.466552734375
Y9,2394.3222334594725,2498.272466918945,2602.222700378418,2706.1729338378905,2810.123167297363,2914.073400756836
Y10,2344.2762282333374,2350.5595639190674,2334.4756730041504,2384.0346405944824,2398.225780769348,2465.8665659866333
Y11,1486.2273291015624,1498.888659324646,1566.6295727157592,1569.7669018173217,1582.4282320404052,1650.1691454315185
Y12,2053.7191146850587,2140.6007293701173,2227.482344055176,2314.3639587402345,2401.245573425293,2488.1271881103517
Y13,4730.96647644043,4827.700126647949,5093.598533630371,5365.497367858887,5554.930290222168,5443.2310791015625
Y14,4924.878799438477,4851.471542358398,4778.06428527832,4716.438987731934,4638.251502990723,4466.108192443848
Y15,5448.66633605957,5579.433502197266,5897.331359863281,6166.231689453125,6396.364715576172,6375.098819732666
Y16,2598.13698425293,2654.6734870910645,2737.603235626221,2845.1355003356935,2931.928560638428,2838.3819526672364
Y17,3860.3976654052735,3937.123403930664,4055.723211669922,4250.810507202148,4396.98267211914,4402.827694320678
Y18,3220.6867988586428,3285.36449508667,3389.5439765930178,3505.834030914307,3602.5109413146974,3540.31517868042
Y19,3943.025056152344,4880.078156738282,5817.131257324219,6754.184357910157,7691.237458496094,8628.732514648438
Y20,6697.600866088867,6890.784856567383,6984.514005432129,6975.106978187561,6893.400725135803,7141.07119632721
