Date,PASSENGERS,Number of available seats Domestic and international level,Number of domestic flights,Number of International  flights,Revenue Passenger-miles/Domestic,Revenue Passenger-miles/International,TSI/Passengers,TSI/Freight,"Trade, Transportation, and Utilities",All employees Information,Employees In financial activities,Employees in Government ,Employees in Leisure and Hospitality,"All Employees,Education and Health Services","All Employee,Mining and Logging: Oil and Gas Extraction",Employees in Other Services,Unemployement Rate in Houston Area,Texas Business CyclesIndex,"PCE on Durable goods(Billions of Dollars, Monthly, Seasonally Adjusted Annual Rate)",PCE on Recreational activities,Recession,WTO Oil Price,post_covid,post_vaccine,post_delta
1/1/2001,1158092,81196157,718557.9639,64255.44712,47938167.18,18682646.35,100.3,99.4,494.59,48.91,87.28,314.64,186.97,226.05,35.8,95.7,4.1,188.5,916.5,19089,0,29.58,0,0,0
2/1/2001,1091003,73704583,718557.9639,64255.44712,47938167.18,18682646.35,100.3,99.3,495.1,49.02,87.38,315.2,187.54,226.86,36.16,95.57,3.9,188.8,938.9,19089,0,29.61,0,0,0
3/1/2001,1317215,82211844,718557.9639,64255.44712,47938167.18,18682646.35,100.8,99.5,494.98,48.9,87.51,316.16,187.92,227.46,36.14,95.9,4.1,188.9,925.1,19089,0,27.24,0,0,0
4/1/2001,1273746,80938470,718557.9639,64255.44712,47938167.18,18682646.35,101.4,98,494.75,48.78,87.46,318.02,187.74,228.18,36.07,96.19,4,188.9,908.3,19089,1,27.41,0,0,0
5/1/2001,1335349,83754265,718557.9639,64255.44712,47938167.18,18682646.35,101.9,99.5,495.32,48.2,87.45,318.62,187.92,229.79,36.8,95.97,4.2,188.7,916,19089,1,28.64,0,0,0
6/1/2001,1331688,82865877,718557.9639,64255.44712,47938167.18,18682646.35,102.2,98.7,495.42,47.68,87.29,316.73,188.95,230.63,37.18,95.71,5,188.5,934.1,19089,1,27.6,0,0,0
7/1/2001,1413441,87079555,718557.9639,64255.44712,47938167.18,18682646.35,101.9,97.9,495.37,46.12,86.94,321.15,189.67,231.58,37.04,95.04,4.9,188.1,925,19089,1,26.45,0,0,0
8/1/2001,1402240,87717155,718557.9639,64255.44712,47938167.18,18682646.35,103,99.3,494.99,45.93,86.8,324.22,190.26,233.29,37.26,95.26,5.1,187.8,942.5,19089,1,27.47,0,0,0
9/1/2001,804314,65361009,718557.9639,64255.44712,47938167.18,18682646.35,83,98.1,493.94,45.3,86.52,326.77,189.23,234.14,37.37,95.19,5,187.4,904.1,19089,1,25.88,0,0,0
10/1/2001,1094164,69552136,718557.9639,64255.44712,47938167.18,18682646.35,86,98.9,494.59,45.08,86.21,324.8,188.66,235.51,36.98,95.38,5,186.9,1035.1,19089,1,22.21,0,0,0
11/1/2001,1133274,66632329,718557.9639,64255.44712,47938167.18,18682646.35,88.3,98.1,491.68,44.74,86.16,326.17,188.59,236.79,36.97,95.34,5.1,186.4,997,19089,1,19.67,0,0,0
12/1/2001,1135604,69510768,718557.9639,64255.44712,47938167.18,18682646.35,90.4,97.6,487.17,44.12,86.16,326.5,189.2,237.72,36.95,95.44,5.2,186.2,955.6,19089,0,19.33,0,0,0
