iter	RMSE
0	16403403.77
1	16157477.89
2	15860210.68
3	15629471.8
4	15418099.07
5	15231268.51
6	15010766.32
7	14811866.63
8	14627013.64
9	14445330.19
10	14247010.71
11	14035957.35
12	13828656.52
13	13622809.39
14	13414099.79
15	13239880.37
16	13047093.81
17	12869086.2
18	12691591.48
19	12521458.26
20	12348219.32
21	12169792.28
22	11997003.69
23	11857399.74
24	11727174.71
25	11548456.02
26	11405516.72
27	11290104.13
28	11129481.04
29	10981949.3
30	10847430.52
31	10719868.6
32	10593589.37
33	10449939.66
34	10314459.18
35	10186800.03
36	10057984.83
37	9952088.443
38	9848754.899
39	9743500.587
40	9628128.349
41	9487021.685
42	9377318.435
43	9273232.674
44	9175915.273
45	9069945.804
46	8962638.862
47	8862402.547
48	8761134.681
49	8663098.132
50	8593466.166
51	8516709.201
52	8419385.338
53	8339742.402
54	8280237.233
55	8187644.375
56	8099619.874
57	8065711.862
58	7986091.605
59	7911464.381
60	7843297.553
61	7777342.612
62	7687066.954
63	7613214.446
64	7556346.791
65	7500050.63
66	7430482.122
67	7353418.374
68	7288199.333
69	7229426.995
70	7159511.186
71	7084609.346
72	7015414.561
73	6960220.417
74	6901347.777
75	6836870.955
76	6781496.924
77	6724554.616
78	6674853.71
79	6616109.736
80	6576828.755
81	6531766.278
82	6486820.206
83	6417800.78
84	6373620.643
85	6329021.546
86	6284463.997
87	6237997.267
88	6191697.934
89	6152432.623
90	6098513.195
91	6043382.811
92	6000505.182
93	5949416.879
94	5912340.227
95	5880679.641
96	5824961.923
97	5778203.373
98	5735435.877
99	5697050.15
100	5654157.931
101	5610101.511
102	5575672.145
103	5551157.606
104	5510982.236
105	5470893.914
106	5434570.776
107	5394440.816
108	5358830.282
109	5310049.298
110	5272812.975
111	5242211.463
112	5206882.835
113	5169049.223
114	5137624.553
115	5088056.072
116	5063370.601
117	5031451.717
118	4996146.382
119	4958146.23
120	4931971.607
121	4898422.992
122	4860842.766
123	4838269.618
124	4812199.946
125	4782363.316
126	4742757.141
127	4718748.341
128	4690880.977
129	4667436.768
130	4639365.732
131	4618311.212
132	4589164.092
133	4561073.586
134	4547492.096
135	4521237.825
136	4493412.179
137	4463058.63
138	4429948.808
139	4404809.136
140	4389881.733
141	4364673.035
142	4339059.9
143	4308174.726
144	4271096.511
145	4234091.283
146	4216244.849
147	4190326.621
148	4153205.623
149	4129779.572
150	4103939.818
151	4077518.523
152	4056514.309
153	4024751.241
154	3995984.115
155	3976682.026
156	3950938.896
157	3924195.609
158	3891453.102
159	3869816.824
160	3854989.7
161	3836803.211
162	3817281.755
163	3795381.12
164	3780011.434
165	3756857.144
166	3730706.887
167	3705122.923
168	3678945.208
169	3659796.722
170	3643849.511
171	3633108.841
172	3613940.512
173	3600925.968
174	3581360.778
175	3564674.323
176	3538940.359
177	3505441.849
178	3481175.576
179	3462200.654
180	3442109.525
181	3422628.158
182	3395422.378
183	3377461.881
184	3353263.819
185	3331251.157
186	3301260.904
187	3286308.041
188	3269526.652
189	3253304.757
190	3227564.608
191	3207002.547
192	3186833.809
193	3153294.605
194	3139933.512
195	3111490.65
196	3092315.887
197	3077376.166
198	3064240.54
199	3047982.548
200	3026111.854
201	3015999.749
202	3006268.11
203	2996242.955
204	2984037.881
205	2966981.435
206	2937436.682
207	2922463.119
208	2905143.801
209	2893417.796
210	2883716.734
211	2873108.019
212	2843408.149
213	2833366.562
214	2819455.297
215	2806264.973
216	2799375.144
217	2766496.055
218	2751488.542
219	2734303.598
220	2709577.742
221	2693185.564
222	2684534.535
223	2675070.454
224	2654489.015
225	2646189.504
226	2637443.84
227	2627497.742
228	2606531.07
229	2579858.792
230	2564187.358
231	2550152.864
232	2542039.54
233	2534488.767
234	2525354.325
235	2513139.083
236	2494098.046
237	2480967.086
238	2470317.905
239	2458735.378
240	2439548.968
241	2424563.585
242	2399986.618
243	2390051.169
244	2383320.839
245	2369028.171
246	2360054.966
247	2347411.928
248	2338958.16
249	2332953.819
250	2326529.93
251	2317800.822
252	2310396.097
253	2290225.746
254	2265967.612
255	2249036.947
256	2240621.05
257	2235095.978
258	2228952.392
259	2222544.253
260	2217366.9
261	2211943.189
262	2198369.368
263	2192394.582
