iter	Passed	Remaining
0	0	418
1	0	360
2	0	317
3	1	306
4	1	308
5	1	301
6	2	302
7	2	301
8	2	299
9	3	298
10	3	300
11	3	302
12	4	303
13	4	302
14	4	303
15	5	347
16	5	343
17	6	339
18	6	337
19	6	333
20	7	333
21	7	336
22	7	336
23	8	337
24	8	339
25	9	340
26	10	368
27	10	367
28	11	370
29	11	368
30	11	368
31	12	370
32	12	374
33	13	374
34	13	377
35	14	380
36	14	381
37	15	380
38	15	379
39	16	394
40	16	391
41	17	391
42	17	391
43	17	390
44	18	390
45	18	389
46	19	389
47	19	388
48	20	389
49	21	402
50	21	400
51	22	401
52	22	400
53	22	401
54	23	400
55	23	400
56	24	399
57	24	398
58	24	397
59	25	396
60	25	395
61	26	397
62	26	396
63	27	396
64	27	396
65	27	396
66	28	394
67	28	394
68	29	392
69	29	393
70	30	393
71	30	393
72	30	391
73	31	390
74	31	389
75	31	387
76	32	386
77	32	385
78	33	385
79	33	383
80	33	383
81	34	383
82	34	382
83	35	382
84	35	381
85	35	380
86	36	379
87	36	378
88	36	378
89	37	378
90	37	377
91	38	377
92	38	377
93	39	377
94	39	377
95	40	377
96	40	376
97	40	376
98	41	376
99	41	375
100	42	375
101	42	374
102	42	373
103	43	372
104	43	371
105	43	370
106	44	369
107	44	369
108	45	368
109	45	367
110	45	366
111	46	365
112	46	365
113	47	366
114	47	365
115	47	364
116	48	364
117	48	364
118	49	363
119	49	364
120	49	362
121	50	362
122	50	361
123	51	361
124	51	361
125	52	365
126	53	364
127	53	364
128	53	363
129	54	362
130	54	362
131	55	362
132	55	361
133	55	360
134	56	360
135	56	359
136	56	358
137	57	358
138	57	357
139	58	357
140	58	356
141	59	356
142	59	355
143	59	355
144	60	355
145	60	354
146	61	359
147	62	358
148	62	357
149	62	356
150	63	356
151	63	355
152	64	354
153	64	354
154	64	354
155	65	353
156	65	353
157	66	353
158	66	352
159	67	352
160	67	351
161	67	350
162	68	349
163	68	349
164	69	349
165	69	348
166	69	348
167	70	347
168	70	346
169	70	346
170	71	345
171	71	345
172	72	345
173	72	345
174	73	344
175	73	345
176	74	344
177	74	344
178	74	343
179	75	343
180	75	342
181	76	344
182	77	344
183	77	344
184	77	343
185	78	343
186	78	342
187	79	342
188	79	341
189	80	341
190	80	340
191	80	340
192	81	339
193	81	339
194	82	339
195	82	338
196	82	337
197	83	337
198	83	337
199	84	336
200	84	336
201	84	335
202	85	334
203	85	334
204	86	334
205	86	333
206	86	332
207	87	332
208	87	332
209	88	331
210	88	330
211	88	330
212	89	329
213	89	329
214	89	328
215	90	327
216	90	327
217	91	327
218	91	326
219	92	326
220	92	326
221	92	325
222	93	325
223	93	324
224	94	324
225	94	324
226	95	323
227	95	323
228	95	322
229	96	322
230	96	321
231	97	321
232	97	320
233	97	320
234	98	320
235	98	319
236	99	319
237	99	319
238	100	318
239	100	318
240	100	317
241	101	317
242	101	317
243	102	316
244	102	316
245	102	315
246	103	315
247	103	315
248	104	314
249	104	314
250	105	315
251	106	315
252	106	315
253	107	314
254	107	314
255	107	313
256	108	313
257	108	312
258	108	311
259	109	311
260	109	310
261	110	309
262	110	309
263	110	308
264	111	308
265	111	308
266	112	308
267	112	307
268	113	307
269	113	306
270	113	306
271	114	305
272	114	305
273	114	304
274	115	304
275	115	303
276	116	303
277	116	302
278	117	302
279	117	301
280	117	301
281	118	300
282	118	300
283	119	300
284	119	299
285	119	299
286	120	299
287	120	298
288	121	297
289	121	297
290	121	297
291	122	296
292	122	296
293	123	295
294	123	295
295	123	294
296	124	294
297	124	294
298	125	293
299	125	293
300	126	292
301	126	292
302	126	291
303	127	291
304	127	291
305	128	290
306	128	290
307	129	289
308	129	289
309	129	288
310	130	288
311	130	287
312	130	287
313	131	286
314	131	286
315	132	285
316	132	285
317	132	284
318	133	284
319	133	283
320	133	283
321	134	282
322	134	282
323	134	281
324	135	281
325	135	280
326	136	279
327	136	279
328	136	278
329	137	278
330	137	278
331	138	277
332	138	277
333	138	276
334	139	277
335	140	277
336	140	277
337	141	276
338	141	276
339	142	275
340	142	275
341	142	274
342	142	273
343	143	273
344	143	272
345	144	272
346	144	271
347	144	271
348	145	270
349	145	270
350	145	269
351	146	269
352	146	268
353	147	268
354	147	267
355	147	267
356	148	267
357	148	266
358	149	266
359	149	265
360	150	265
361	150	265
362	150	264
363	151	264
364	151	263
365	152	263
366	152	263
367	152	262
368	153	261
369	153	261
370	153	260
371	154	260
372	154	260
373	155	259
374	155	259
375	155	258
376	156	258
377	156	257
378	157	257
379	157	257
380	158	256
381	158	256
382	158	256
383	159	255
384	159	255
385	160	254
386	160	254
387	161	254
388	161	253
389	161	253
390	162	252
391	162	252
392	163	252
393	163	251
394	164	251
395	164	251
396	165	250
397	165	250
398	165	249
399	166	249
400	166	248
401	167	248
402	167	248
403	167	247
404	168	247
405	168	246
406	169	246
407	169	246
408	169	245
409	170	245
410	170	244
411	171	244
412	171	243
413	172	243
414	172	243
415	172	242
416	173	242
417	173	241
418	174	241
419	174	240
420	174	240
421	175	239
422	175	239
423	176	239
424	176	238
425	176	238
426	177	237
427	177	237
428	178	236
429	178	236
430	178	235
431	179	235
432	179	235
433	180	235
434	181	235
435	181	234
436	181	234
437	182	233
438	183	234
439	183	233
440	184	233
441	184	233
442	184	232
443	185	232
444	185	231
445	186	231
446	186	230
447	186	230
448	187	229
449	187	229
450	188	228
451	188	228
452	188	227
453	189	227
454	189	227
455	190	226
456	190	226
457	191	226
458	191	225
459	192	225
460	192	224
461	192	224
462	193	224
463	193	223
464	193	223
465	194	222
466	194	222
467	195	221
468	195	221
469	195	220
470	196	220
471	196	219
472	197	219
473	197	219
474	197	218
475	198	218
476	198	217
477	199	217
478	199	217
479	199	216
480	200	216
481	200	215
482	201	215
483	201	214
484	201	214
485	202	214
486	202	213
487	203	213
488	203	212
489	203	212
490	204	211
491	204	211
492	205	210
493	205	210
494	205	210
495	206	209
496	206	209
497	207	208
498	207	208
499	207	207
500	208	207
501	208	206
502	208	206
503	209	205
504	209	205
505	210	205
506	210	204
507	210	204
508	211	203
509	211	203
510	211	202
511	212	202
512	213	202
513	213	201
514	213	201
515	214	200
516	214	200
517	214	199
518	215	199
519	215	198
520	215	198
521	216	198
522	216	197
523	217	197
524	217	196
525	217	196
526	218	195
527	218	195
528	219	195
529	219	194
530	220	194
531	220	194
532	221	193
533	221	193
534	221	192
535	222	192
536	222	192
537	223	191
538	223	191
539	223	190
540	224	190
541	224	189
542	225	189
543	225	189
544	226	188
545	226	188
546	227	188
547	227	187
548	227	187
549	228	186
550	228	186
551	228	185
552	229	185
553	230	185
554	230	184
555	230	184
556	231	183
557	231	183
558	232	183
559	232	182
560	233	182
561	233	181
562	233	181
563	234	181
564	234	180
565	235	180
566	235	179
567	235	179
568	236	179
569	236	178
570	237	178
571	237	177
572	238	177
573	238	177
574	238	176
575	239	176
576	239	175
577	239	175
578	240	174
579	240	174
580	241	173
581	241	173
582	242	173
583	242	172
584	243	172
585	243	171
586	243	171
587	244	171
588	244	170
589	245	170
590	245	169
591	245	169
592	246	168
593	246	168
594	247	168
595	247	167
596	248	167
597	248	167
598	248	166
599	249	166
600	249	165
601	250	165
602	250	164
603	251	165
604	252	164
605	252	164
606	252	163
607	253	163
608	253	162
609	254	162
610	254	161
611	254	161
612	255	161
613	255	160
614	256	160
615	256	159
616	257	159
617	257	159
618	257	158
619	258	158
620	258	157
621	258	157
622	260	157
623	260	156
624	261	156
625	262	156
626	262	156
627	262	155
628	263	155
629	263	154
630	264	154
631	264	154
632	265	153
633	265	153
634	266	152
635	266	152
