ModelNickname,Estimator,Xvars,HyperParams,Scaler,Observations,Tuned,CrossValidated,DynamicallyTested,Integration,TestSetLength,TestSetRMSE,TestSetMAPE,TestSetMAE,TestSetR2,LastTestSetPrediction,LastTestSetActual,CILevel,CIPlusMinus,InSampleRMSE,InSampleMAPE,InSampleMAE,InSampleR2,ValidationSetLength,ValidationMetric,ValidationMetricValue,models,weights,LevelTestSetRMSE,LevelTestSetMAPE,LevelTestSetMAE,LevelTestSetR2,best_model,Series
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'max_depth': 2, 'max_features': 'sqrt'}",minmax,168,True,True,True,1,26,35870.93841356026,1.8395506161742863,27632.53306059597,0.29992971197717333,2765.149371113236,44091.850000000006,0.95,26847.18221786597,13331.760112231097,1.2417395994406302,10680.141451047946,0.838785519621024,,rmse,24338.949356586545,,,26867.521568747445,0.19777623146245343,19946.193831033175,0.4220961310106952,True,Albany-conventional
avg,combo,,"{'how': 'simple', 'models': 'top_5'}",,168,False,False,,1,26,41133.608897339145,2.013560080930043,30933.836207678534,0.07944487927812882,-2247.843696715143,44091.850000000006,0.95,22522.856380005192,13007.708527755833,1.0518605535299617,9937.381881330886,0.8465274671862185,,,,"['gbt', 'elasticnet', 'xgboost', 'knn', 'mlp']",,30764.757400687504,0.17499922446917998,21006.266445786667,0.2422823927837776,False,Albany-conventional
weighted,combo,,"{'how': 'weighted', 'models': 'top_7', 'rebalance_weights': 0}",,168,False,False,,1,26,41384.85676444956,1.8139076468608526,31003.819260762088,0.0681648637602219,-1813.4910198600405,44091.850000000006,0.95,25846.451259484696,16089.198720168804,1.014744176340381,12080.5045426532,0.7652001050183194,,,,"['gbt', 'elasticnet', 'xgboost', 'knn', 'mlp', 'svr', 'mlr']","(0.1685360811697575, 0.1680083713634109, 0.1673170888139203, 0.16567940518118127, 0.1652372392421093, 0.16522181422962076, 0.0)",32195.34807981482,0.1717228824115313,21227.44037512075,0.17017476177244217,False,Albany-conventional
xgboost,xgboost,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{'max_depth': 3},minmax,168,True,True,True,1,26,42059.57888185191,4.267524186560747,33399.15808105469,0.037532641982211734,-17163.80859375,44091.850000000006,0.95,1880.8182804326616,1043.873205470429,0.2508826326470177,782.8661317809203,0.999011618593084,,rmse,26036.313809368436,,,47816.24860849125,0.37181790530273684,36816.20308819111,-0.8304226926390916,False,Albany-conventional
mlr,mlr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{},,168,True,True,True,1,26,42850.23362643482,3.2730354114456146,33673.612359850034,0.0010067414066595726,-9221.84310823679,44091.850000000006,0.95,44448.65614109487,21953.855738695056,5.120540798225455,17312.605973780428,0.562829670476064,,rmse,259014.04950702193,,,46440.65621050671,0.2903214868379109,34401.59927302718,-0.726621263925179,False,Albany-conventional
svr,svr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'kernel': 'linear', 'C': 3, 'epsilon': 0.01}",minmax,168,True,True,True,1,26,42956.54085417222,1.0449555676877158,31582.863488542804,-0.003956215898184512,408.9209407981035,44091.850000000006,0.95,54542.10307307294,33200.14946918741,1.0607152893748257,24392.442743040017,0.0002091802197057291,,rmse,28953.84202944067,,,44187.83410806297,0.244910257179745,30809.01299398315,-0.5631685884983777,False,Albany-conventional
mlp,mlp,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'activation': 'relu', 'hidden_layer_sizes': (25, 25), 'solver': 'adam', 'random_state': 20}",scale,168,True,True,True,1,26,42982.39517586617,0.9958371067052993,31581.911127688196,-0.005165085035614192,27.58367465264392,44091.850000000006,0.95,61760.487864001465,33188.966284743394,0.9993650541314806,24385.886914053164,0.0008826086371118702,,rmse,28932.36374226652,,,49143.71326981522,0.2864750616864102,35580.49275621392,-0.9334650520025058,False,Albany-conventional
knn,knn,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'n_neighbors': 15, 'weights': 'distance'}",minmax,168,True,True,True,1,26,42995.12333303661,1.6611112960070935,31875.715237765995,-0.005760481984910415,2584.273912589222,44091.850000000006,0.95,0.0,0.0,0.0,0.0,1.0,,rmse,28316.677562104855,,,46647.54280798661,0.32097609639560404,36240.78184223022,-0.7420392402635125,False,Albany-conventional
prophet,prophet,[],{},,168,False,False,True,1,26,43469.470698505414,1.85440851186657,32440.511202198744,-0.028075177686196495,-6137.8038492928645,44091.850000000006,0.95,51808.079259378734,30753.00877673868,2.045971205536483,22698.779010666145,0.040913816405262704,,,,,,116303.62389695836,0.8975816003750059,99668.50712184432,-9.828963348693602,False,Albany-conventional
elasticnet,elasticnet,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'alpha': 0.1, 'l1_ratio': 0.5}",,168,True,True,True,1,26,44510.90586379231,2.376158457938734,33207.3316889202,-0.0779262177733544,547.5831518191844,44091.850000000006,0.95,39686.390673759735,23577.439803930287,3.875923376553356,17816.800718231047,0.4957773433799024,,rmse,25073.749589244213,,,48600.811434234376,0.2943078495523158,35699.8068732236,-0.8909821536088707,False,Albany-conventional
xgboost,xgboost,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{'max_depth': 2},minmax,168,True,True,True,1,26,1483.8998183862243,1.1532071172247966,1085.2364722427958,0.04215788818180033,-395.6612854003906,-832.6299999999997,0.95,176.52913061774842,99.24201209317403,0.735491639522431,73.93334069994133,0.9855617909335453,,rmse,592.7543767926384,,,1729.8985921474155,0.44620694162392194,1536.9674358866769,-0.8749092216376493,True,Albany-organic
avg,combo,,"{'how': 'simple', 'models': 'top_5'}",,168,False,False,,1,26,1499.9317068172018,1.0345602031267205,1109.371925415759,0.021349245935753713,-40.74726479409129,-832.6299999999997,0.95,1080.5992295060823,495.16184969034174,1.0942647401355023,343.76771454601123,0.6405681504766902,,,,"['gbt', 'xgboost', 'knn', 'elasticnet', 'mlp']",,1401.579327828121,0.3277261614053516,1171.8530332934215,-0.2307626873948485,False,Albany-organic
weighted,combo,,"{'how': 'weighted', 'models': 'top_7', 'rebalance_weights': 0}",,168,False,False,,1,26,1501.6533101395264,1.0245263841736258,1108.7144124424642,0.01910138984184173,-38.636071276988396,-832.6299999999997,0.95,1149.94210160286,542.9111922839614,0.9971969595703872,368.78275628387746,0.56790444950122,,,,"['gbt', 'xgboost', 'knn', 'elasticnet', 'mlp', 'svr', 'mlr']","(0.17035877837321056, 0.16925680033395615, 0.1664458410052426, 0.1662138565970322, 0.16410908746671835, 0.16361563622384015, 0.0)",1314.9770411727877,0.28670247807177796,1064.2789180729512,-0.0833662335448202,False,Albany-organic
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'max_depth': 2, 'max_features': 'sqrt'}",minmax,168,True,True,True,1,26,1502.506324205978,1.1541377493540792,1142.7027774714295,0.01798667453966618,129.37014933338116,-832.6299999999997,0.95,624.8526868180818,328.61012098309584,1.3192309103733564,244.92957139483636,0.8416988481064959,,rmse,586.0204059539825,,,2759.332340405216,0.693261030151398,2278.4450493055147,-3.770314109030225,False,Albany-organic
