iter	Passed	Remaining
0	0	601
1	1	646
2	1	617
3	2	617
4	2	590
5	3	556
6	3	549
7	4	529
8	4	523
9	5	507
10	5	504
11	6	494
12	6	492
13	6	492
14	7	487
15	7	486
16	8	486
17	8	485
18	9	488
19	10	491
20	10	498
21	11	502
22	11	505
23	12	506
24	13	513
25	13	519
26	14	521
27	15	523
28	15	523
29	16	524
30	16	530
31	17	531
32	18	529
33	18	533
34	19	536
35	20	536
36	20	536
37	21	536
38	21	535
39	22	534
40	22	533
41	24	555
42	24	550
43	25	556
44	26	556
45	26	553
46	27	555
47	28	556
48	28	555
49	29	555
50	29	556
51	30	554
52	31	554
53	31	552
54	32	550
55	32	551
56	33	550
57	33	550
58	34	553
59	35	554
60	36	556
61	36	553
62	37	555
63	38	556
64	38	556
65	39	556
66	39	555
67	40	555
68	41	556
69	41	556
70	42	555
71	43	555
72	43	554
73	44	555
74	45	556
75	45	555
76	46	555
77	46	555
78	47	554
79	48	552
80	48	553
81	49	554
82	50	553
83	50	553
84	51	552
85	51	551
86	52	549
87	52	549
88	53	548
89	54	550
90	55	550
91	55	549
92	56	548
93	56	547
94	57	545
95	58	546
96	58	545
97	59	544
98	60	546
99	60	546
100	61	546
101	62	547
102	62	545
103	63	545
104	64	545
105	64	544
106	65	545
107	65	544
108	66	544
109	67	543
110	67	542
111	68	543
112	69	543
113	69	543
114	70	543
115	71	542
116	72	548
117	73	548
118	73	547
119	74	546
120	75	546
121	75	545
122	76	543
123	76	543
124	77	542
125	78	541
126	78	541
127	79	540
128	79	540
129	80	538
130	81	538
131	81	538
132	82	538
133	83	539
134	83	538
135	84	538
136	85	539
137	86	539
138	86	537
139	87	537
140	88	536
141	88	535
142	89	535
143	89	534
144	90	534
145	91	534
146	91	533
147	92	532
148	93	531
149	93	532
150	94	532
151	95	532
152	95	531
153	96	530
154	97	529
155	97	529
156	98	529
157	99	528
158	99	528
159	100	527
160	101	526
161	101	526
162	102	524
163	102	524
164	103	524
165	104	524
166	104	522
167	105	522
168	106	521
169	106	520
170	107	520
171	107	519
172	108	519
173	109	518
174	109	518
175	110	517
176	111	517
177	111	517
178	112	516
179	113	515
180	113	514
181	114	514
182	115	513
183	115	513
184	116	512
185	116	511
186	117	510
187	117	509
188	118	509
189	119	508
190	119	507
191	120	506
192	121	506
193	121	506
194	122	505
195	123	505
196	123	504
197	124	504
198	125	503
199	125	502
200	126	502
201	126	501
202	127	500
203	128	500
204	128	499
205	129	498
206	129	497
207	130	498
208	131	498
209	132	497
210	132	497
211	133	496
212	134	495
213	135	495
214	135	494
215	136	494
216	137	494
217	137	494
218	138	493
219	138	492
220	139	491
221	140	490
222	140	490
223	141	489
224	141	488
225	142	488
226	143	487
227	143	487
228	144	486
229	145	485
230	145	485
231	146	486
232	147	485
233	148	485
234	149	485
235	149	484
236	150	484
237	151	483
238	151	483
239	152	482
240	152	481
241	153	481
242	154	480
243	154	480
244	155	479
245	156	478
246	157	480
247	158	481
248	159	480
249	159	479
250	160	479
251	161	480
252	162	479
253	163	478
254	163	478
255	164	477
256	165	477
257	165	476
258	166	476
