iter	RMSE
0	9.889485414
1	9.732066492
2	9.581537309
3	9.448157417
4	9.294800605
5	9.131150845
6	8.972000435
7	8.786075355
8	8.669828144
9	8.488925823
10	8.365382124
11	8.231046729
12	8.102094663
13	7.966169994
14	7.804865659
15	7.696143795
16	7.563982303
17	7.438654143
18	7.331481678
19	7.21831115
20	7.117719481
21	6.996484934
22	6.891202917
23	6.781542116
24	6.686917352
25	6.581842427
26	6.497118196
27	6.402895877
28	6.300968178
29	6.195583022
30	6.091508265
31	5.989716941
32	5.881630535
33	5.775534551
34	5.68979275
35	5.612348799
36	5.52808471
37	5.433050567
38	5.35609884
39	5.274529604
40	5.207261271
41	5.145459037
42	5.066358894
43	5.002567738
44	4.932562525
45	4.8481946
46	4.766552903
47	4.695519611
48	4.637880488
49	4.559105057
50	4.502983552
51	4.445837731
52	4.384888954
53	4.323026959
54	4.263316766
55	4.208342769
56	4.15924579
57	4.10962678
58	4.065945944
59	4.01533512
60	3.975501233
61	3.924617489
62	3.874970601
63	3.829375497
64	3.790368989
65	3.742558375
66	3.705542956
67	3.64663129
68	3.597516067
69	3.538286907
70	3.508807045
71	3.470909371
72	3.428970041
73	3.384000101
74	3.342206403
75	3.307102038
76	3.271540198
77	3.241091833
78	3.202501113
79	3.158751451
80	3.119912967
81	3.077925362
82	3.040384716
83	3.019076674
84	2.977314177
85	2.94293124
86	2.909993673
87	2.878806633
88	2.852360888
89	2.808473715
90	2.775380362
91	2.743222835
92	2.712923943
93	2.68509004
94	2.654841189
95	2.619036343
96	2.593366262
97	2.558792626
98	2.53677157
99	2.508848042
100	2.478600875
101	2.447455619
102	2.423025095
103	2.401532333
104	2.373894264
105	2.34615155
106	2.315918657
107	2.291934286
108	2.267053199
109	2.242683188
110	2.220014865
111	2.196467888
112	2.177342708
113	2.15863491
114	2.136731109
115	2.117430608
116	2.100807624
117	2.078043218
118	2.062875843
119	2.039522774
120	2.018423769
121	2.000617676
122	1.986117253
123	1.969092773
124	1.948743111
125	1.932919858
126	1.916356996
127	1.895441647
128	1.873719544
129	1.85678529
130	1.839699988
131	1.821246452
132	1.805329133
133	1.783345773
134	1.769541945
135	1.753350263
136	1.740472037
137	1.727482228
138	1.712925441
139	1.696217509
140	1.686164024
141	1.674045025
142	1.663503299
143	1.648989416
144	1.63646018
145	1.626898127
146	1.614591644
147	1.600615575
148	1.586051041
149	1.573888263
150	1.560926127
151	1.550626802
152	1.537223007
153	1.523913431
154	1.512286669
155	1.50273518
156	1.492836726
157	1.480522508
158	1.464789563
159	1.451405966
160	1.438684285
161	1.427655671
162	1.415069263
163	1.404208406
164	1.395918109
165	1.385775224
166	1.37835729
167	1.369970337
168	1.356183612
169	1.348845014
170	1.340637829
171	1.331559488
172	1.323719131
173	1.314487757
174	1.305981697
175	1.291711495
176	1.283143195
177	1.27393968
178	1.263959002
179	1.254843535
180	1.246422514
181	1.23960551
