iter	Passed	Remaining
0	3	3338
1	6	3087
2	8	2960
3	11	2836
4	13	2767
5	16	2733
6	19	2698
7	21	2699
8	24	2700
9	27	2705
10	29	2695
11	32	2694
12	35	2705
13	38	2734
14	42	2765
15	45	2818
16	48	2827
17	52	2837
18	55	2861
19	58	2886
20	61	2867
21	63	2838
22	66	2822
23	68	2799
24	71	2777
25	74	2780
26	76	2759
27	79	2743
28	81	2732
29	84	2716
30	86	2702
31	88	2691
32	91	2686
33	94	2673
34	96	2659
35	98	2649
36	101	2637
37	103	2625
38	106	2621
39	108	2611
40	111	2607
41	113	2598
42	116	2587
43	118	2576
44	121	2568
45	123	2559
46	126	2556
47	128	2556
48	131	2553
49	134	2553
50	137	2550
51	139	2543
52	142	2546
53	145	2542
54	147	2538
55	150	2535
56	152	2529
57	155	2526
58	158	2521
59	160	2516
60	163	2511
61	165	2502
62	167	2496
63	170	2496
64	173	2492
65	175	2485
66	178	2481
67	180	2475
68	182	2468
69	185	2466
70	188	2460
71	190	2454
72	192	2450
73	195	2444
74	197	2438
75	200	2432
76	202	2429
77	205	2424
78	207	2418
79	209	2414
80	212	2408
81	214	2402
82	217	2405
83	220	2399
84	222	2394
85	224	2390
86	227	2385
87	230	2384
88	232	2384
89	235	2382
90	238	2378
91	240	2374
92	242	2369
93	245	2365
94	247	2361
95	250	2356
96	252	2352
97	255	2347
98	257	2343
99	260	2342
100	263	2341
101	265	2340
102	268	2337
103	270	2333
104	273	2330
105	276	2328
106	279	2330
107	282	2333
108	285	2331
109	287	2329
110	290	2329
111	293	2327
112	296	2328
113	299	2325
114	301	2323
115	305	2324
116	308	2326
117	311	2326
118	314	2324
119	316	2322
120	319	2323
121	322	2322
122	325	2319
123	327	2315
124	330	2316
125	333	2314
126	336	2313
127	338	2308
128	341	2304
129	343	2300
130	346	2296
131	348	2291
132	351	2288
133	353	2286
134	356	2282
135	358	2277
136	361	2274
137	363	2270
138	366	2270
139	368	2266
140	371	2262
141	373	2257
142	376	2253
143	378	2249
144	381	2247
145	383	2243
146	386	2240
147	388	2236
148	390	2232
149	393	2229
150	396	2228
151	398	2225
152	401	2222
153	403	2218
154	406	2214
155	408	2212
156	411	2210
157	414	2208
158	417	2205
159	419	2202
160	421	2199
161	424	2197
162	427	2195
163	430	2193
164	432	2189
165	435	2186
166	437	2182
167	440	2179
168	442	2175
169	444	2171
170	447	2168
171	449	2164
172	451	2160
173	454	2157
174	457	2154
175	459	2151
176	461	2147
177	464	2144
178	466	2140
179	469	2137
180	471	2133
181	473	2130
182	476	2126
183	478	2123
184	481	2119
185	483	2116
186	486	2113
187	488	2110
188	490	2106
189	493	2103
190	495	2099
191	498	2097
192	500	2094
193	503	2091
194	505	2088
195	508	2084
196	510	2081
