date,open,high,low,close
3/12/2018,488.5,492.75,483,490
3/9/2018,499.25,499.25,486,490.25
3/8/2018,497.5,502.5,490.25,499.25
3/7/2018,506,509.75,496,497.5
3/6/2018,507,507.5,495.5,506
3/5/2018,507.75,510.25,495.25,507
3/2/2018,516,518.5,493.25,499
3/1/2018,495.5,517.75,489.5,516
2/28/2018,477.5,499.5,476.5,492.5
2/27/2018,473.75,479,473.5,477.5
2/26/2018,468.75,476.75,467.75,473.75
2/23/2018,450.75,456.25,450.75,452
2/22/2018,447.5,451.75,445.25,450.75
2/21/2018,449.25,452,445.5,447.5
2/20/2018,458,463.25,449,449.25
2/19/2018,458,458,458,458
2/18/2018,458,458,458,458
2/16/2018,461.5,464.5,456.75,458
2/15/2018,455.25,463.5,452.25,461.5
2/14/2018,458.25,460.5,453.75,454.75
2/13/2018,464.25,467.25,459,459.25
2/12/2018,452.5,465,451.5,464.25
2/9/2018,456.5,456.5,448.25,449.25
2/8/2018,461,464.5,451.5,456.5
2/7/2018,446.75,461.75,446.75,461
2/6/2018,442,447.75,438.75,446.75
2/5/2018,447,447,438.75,442
2/4/2018,447,447,447,447
2/2/2018,451.25,451.25,445,447
2/1/2018,451.5,451.5,443.25,451.25
1/31/2018,458,458.75,447.5,451.5
1/30/2018,449,458.25,449,458
1/29/2018,443.5,449.75,443.5,449
1/26/2018,434.25,442.5,434.25,442.25
1/25/2018,432.5,438.75,429.5,434.25
1/24/2018,421.75,433.75,420.75,432.5
1/23/2018,425.5,425.5,419.75,421.75
1/22/2018,424.25,427.5,423.25,425.5
1/19/2018,425.5,427.25,421.5,423.25
1/18/2018,421.5,425.75,421.25,424.75
1/17/2018,416.25,423,415.5,421.5
1/16/2018,420.75,422.5,413.25,416.25
1/12/2018,433.75,436,418.75,420.75
1/11/2018,434,434.25,428.75,433.75
1/10/2018,431.75,435,431.5,434
1/9/2018,427,433.75,425.5,431.75
1/8/2018,430.25,432.25,425.75,427
1/5/2018,433.5,433.75,427.5,431
1/4/2018,435,436,431,433.5
1/3/2018,434.25,437,432,435
1/2/2018,429.5,436,429.5,434.25
12/29/2017,426.75,428,424,427.5
12/28/2017,427.25,428.5,425.25,426.75
12/27/2017,422.25,428.25,420.75,427.25
12/26/2017,424.75,426.75,420.75,422.25
12/22/2017,426.75,429,424.5,424.75
12/21/2017,424,427.5,423,427
12/20/2017,419.5,424.5,416.38,423
12/19/2017,421,424,419.5,420
12/18/2017,420.75,423.5,419.5,420.75
12/15/2017,419,421.5,415.5,418
12/14/2017,417.5,420.75,416.25,417.75
12/13/2017,411.5,417.25,411.5,417.25
12/12/2017,413.5,418.75,411.25,411.25
12/11/2017,417.75,418.75,411,413.25
12/8/2017,420.5,424.62,418,419
12/7/2017,425,425.75,419.75,421.25
12/6/2017,432.25,433.62,424.75,425.5
12/5/2017,435.5,436.12,431.25,432
12/4/2017,439.5,442.75,435,435.25
12/1/2017,432.5,438.75,432.25,438.75
11/30/2017,436,439,430.75,434.38
11/29/2017,429.75,435.5,429.5,434.75
11/28/2017,429.25,431.25,424.5,429.5
11/27/2017,415.5,416,409.12,409.12
11/24/2017,420.5,422,412.75,416
11/22/2017,424.75,426.38,421,422.25
11/21/2017,421.75,428.75,420.5,424.5
11/20/2017,427.25,427.25,419.5,422.12
11/17/2017,421.62,428,421.5,427.75
11/16/2017,420.75,424.5,419.75,421.5
11/15/2017,427.5,428.25,418.25,419.25
11/14/2017,425,429.5,423.5,428
11/13/2017,431.75,432,422.5,423.75
11/10/2017,430,434.25,427.25,431.75
11/9/2017,426,432.25,424.25,428.75
11/8/2017,426.75,427.5,419,426.5
11/7/2017,429.75,431,424.25,427
11/6/2017,427.75,431.25,427.5,431
11/3/2017,427.5,429,422.5,425.25
11/2/2017,418.25,426.5,418.25,425.75
11/1/2017,418.75,422,416.62,418.5
10/31/2017,425.5,426.5,416.5,418.5
10/30/2017,426.75,428,422.75,425.25
10/27/2017,431,431.25,425.25,427
10/26/2017,435.5,437.5,431.25,431.75
10/25/2017,438.5,443,434,435
10/24/2017,437.5,438.88,433.25,437.75
10/23/2017,425.75,438.25,424,437.25
10/20/2017,433.25,435.75,425.25,425.88
10/19/2017,430.25,436.25,429.75,432.75
10/18/2017,435,435.25,429.25,430
10/17/2017,436.5,440.75,433.75,434.75
10/16/2017,440.25,442.75,435.75,436.25
10/13/2017,431.25,441,430.75,439.75
10/12/2017,433.25,437.75,428.5,430.25
10/11/2017,435.25,435.5,430,433.5
10/10/2017,436.38,439.75,434.25,435.88
10/9/2017,445,445.75,435.75,436
10/6/2017,441.5,444.75,439,444
10/5/2017,442.75,444.25,438.25,441.25
10/4/2017,449,449.25,441.75,442.5
10/3/2017,443.75,450.5,443.5,448.5
10/2/2017,445,448.62,439.75,444.75
9/29/2017,455,459,446.5,448.25
9/28/2017,461.25,462,454.12,454.75
9/27/2017,454,462.75,449.25,461.5
9/26/2017,454.25,460.75,452,453.5
9/25/2017,446.38,454.75,444.25,454
9/22/2017,452.5,454.88,448.25,449.5
9/21/2017,451.5,454.5,445.75,452.75
9/20/2017,444.25,450.25,443,449.5
9/19/2017,443,446.75,435.75,442.75
9/18/2017,448.5,450.88,442.5,444
9/15/2017,443.25,450.38,441,448.75
9/14/2017,443.75,450.5,442,442
9/13/2017,443.75,449.75,441.62,444.5
9/12/2017,433.75,443.75,428.5,442.5
9/11/2017,438.5,440,432,434.5
9/8/2017,437.25,442,436,437.75
9/7/2017,446.5,446.5,436,437.5
9/6/2017,441.25,448,440,445.75
9/5/2017,440.5,446.75,439.75,443.5
9/1/2017,434.75,440,434.12,438.88
8/31/2017,429.62,437.75,429.12,435.5
8/30/2017,433,433.5,427.5,429.75
8/29/2017,428,429.75,422.75,429.5
8/28/2017,434,436.5,426.75,428.75
8/25/2017,409.75,412.75,408.62,410
8/24/2017,403.5,411,400.75,409.25
8/23/2017,403.62,408.62,401.75,403.12
8/22/2017,410.5,413,402.5,403
8/21/2017,414,418.75,408.75,410
8/18/2017,415.25,417.75,412.12,416.25
8/17/2017,420,422.25,412.5,414
8/16/2017,429.38,435.75,417.25,419.25
8/15/2017,439.88,440.25,428.12,430
8/14/2017,435,440.5,431.25,440.5
8/11/2017,441.5,444,434.62,439.25
8/10/2017,458.25,461.88,439.5,440.25
8/9/2017,456.5,461.5,454.25,459.75
8/8/2017,463.5,468,454.75,457
8/7/2017,458.5,463.75,454.5,463.75
8/4/2017,457.75,461.38,454.75,455
8/3/2017,460.88,463.75,454.5,457.5
8/2/2017,463.12,466.75,456.38,461
8/1/2017,472.25,478,460.88,461.5
7/31/2017,474.5,480.75,472,474.25
7/28/2017,479.5,489.25,478,481.25
7/27/2017,479.5,485.5,477.88,480.75
7/26/2017,474.5,480.75,474.25,478
7/25/2017,493,494,474.75,475.12
7/24/2017,495,495.88,483.75,488.88
7/21/2017,507.25,510.25,497.75,499.5
7/20/2017,505.25,508.25,495.88,505.62
7/19/2017,504.25,508.88,500.25,503.62
7/18/2017,508.5,517.75,504.5,504.75
7/17/2017,508,512,503,506.5
7/14/2017,513.5,520.5,508.5,510.75
7/13/2017,533.75,534.75,509.62,511.62
7/12/2017,549.5,552.5,535,536.5
7/11/2017,556,559.25,541,553.25
7/10/2017,543,553.62,540.75,550.5
7/7/2017,537.25,545.75,530.25,535.25
7/6/2017,558.38,558.88,535.25,538.62
7/5/2017,561.62,574.25,537,558.75
7/3/2017,539.62,556.62,536.5,554.38
6/30/2017,498.25,525.75,497.5,525.75
6/29/2017,472.75,498.75,472.75,495.88
6/28/2017,470,475,468,473.25
6/27/2017,466,472.5,465.25,469
6/26/2017,471.5,474.25,464,466.25
6/23/2017,462.25,466.75,459.75,460
6/22/2017,465.25,465.25,456,461
6/21/2017,473.5,473.75,464.38,464.75
6/20/2017,469.5,474.75,463.5,471.75
6/19/2017,461.75,473.25,458.75,467.75
6/16/2017,456.25,468.25,456,466
6/15/2017,442.12,457.12,437.5,454.75
6/14/2017,444.75,452.25,442.75,443.12
6/13/2017,437.5,446.25,436.75,444.5
6/12/2017,443.25,444,431.38,434
6/9/2017,447.25,454,443.75,445.75
6/8/2017,446.75,455.75,446.62,449.75
6/7/2017,438,448.5,438,444.75
6/6/2017,430.25,440.75,429.75,435.75
6/5/2017,429.25,433.25,425.75,429.5
6/2/2017,427.75,433.75,426.75,429.25
6/1/2017,429.38,431.25,421.62,429.25
5/31/2017,433.25,436.25,428.5,429.5
5/30/2017,439,439.25,426.5,429.38
5/26/2017,430.25,439,429.5,438.75
5/25/2017,433.75,436,430.25,430.75
5/24/2017,430,433,427.75,432.5
5/23/2017,434.5,435.75,428.25,429.12
5/22/2017,438,442.5,434.75,434.75
5/19/2017,426.25,436.75,426.25,435.5
5/18/2017,428.75,428.75,421.5,426
5/17/2017,422.25,432.25,421.75,427.5
5/16/2017,422.5,425.75,420.5,425
5/15/2017,430.25,431,421.75,424.25
5/12/2017,434.25,437.5,431.5,432.75
5/11/2017,432.25,435.75,428.62,433.5
5/10/2017,429.5,435.5,426.25,431.75
5/9/2017,433.75,434.5,428.75,429.75
5/8/2017,440.75,441.5,433,434
5/5/2017,438.75,444,436.25,443
5/4/2017,454.5,455.25,436,438.25
5/3/2017,452.25,456,446,453.5
5/2/2017,457.25,461.5,448.5,454.5
5/1/2017,441.5,456,439.38,456
4/28/2017,431.75,434.38,429.75,432.62
4/27/2017,426.5,433,425.25,431.5
4/26/2017,428.75,432.5,424.75,426
4/25/2017,418.75,429.5,416.25,427.25
4/24/2017,424.25,424.75,418.25,419
4/21/2017,405.75,408,400.25,405.75
4/20/2017,418.62,421.75,406.75,406.75
4/19/2017,422,425.75,417.75,418.5
4/18/2017,422.25,423.5,419.25,422.25
4/17/2017,430.25,431.25,420,421.25
4/13/2017,433,436,429,429.75
4/12/2017,433.5,436.5,431.5,433.38
4/11/2017,428.25,434.75,424,434.12
4/10/2017,423.75,429,422.5,428.75
4/7/2017,422.5,425.5,419.75,423.62
4/6/2017,429.25,430.75,422,423
4/5/2017,426.75,430.5,425.25,430.25
4/4/2017,426.25,432,426.25,427.25
4/3/2017,430.5,434,428.75,429.25
3/31/2017,422,431.25,417,425.75
3/30/2017,425,426.25,419.75,420.75
3/29/2017,424.25,427.5,422.75,425.5
3/28/2017,420.75,425.75,419.5,424.75
3/27/2017,425.5,425.75,418.5,421.25
3/24/2017,421.5,426.25,421,424.25
3/23/2017,421.75,424.75,420.25,421.25
3/22/2017,427.12,427.12,422,422.25
3/21/2017,430.25,430.5,423.25,426.5
3/20/2017,440.25,442.62,429.25,430.75
3/17/2017,435.5,437.62,433,436.75
3/16/2017,436.5,440.75,434.75,436.75
3/15/2017,431.25,437,430.75,436
3/14/2017,431.25,434.5,428.75,431
3/13/2017,440.25,441.75,430.25,430.75
3/10/2017,442.88,445.5,439.75,442
3/9/2017,447.75,450.75,442.5,443.75
3/8/2017,457.25,457.25,445.5,447.5
3/7/2017,459.25,460.75,451,456.25
3/6/2017,456.75,462.5,456.5,458.75
3/3/2017,451,455.5,448.25,454.25
3/2/2017,457.5,459.5,450.12,453.5
3/1/2017,443,457.25,442.5,457.25
2/28/2017,440.75,454.38,439.25,443.75
2/27/2017,447.5,447.75,438.25,438.75
2/24/2017,438.38,438.5,430.25,433
2/23/2017,441.62,444.25,436.5,437
